"編號";"指定符";"封裝";"數量";"名稱";"供應商編號";
1;"SW1_11,SW1_7,SW3_5,SW1_12,SW2_13,SW4_5,SW1_4,SW4_14,SW4_9,SW5_16,SW5_5,SW2_12,SW1_1,SW3_7,SW1_5,SW3_11,SW4_8,SW1_2,SW4_3,SW3_10,SW3_3,SW2_14,SW4_4,SW2_11,SW2_10,SW2_5,SW3_9,SW2_3,SW5_14,SW2_6,SW2_4,SW2_9,SW4_7,SW4_10,SW1_10,SW4_6,SW1_3,SW3_8,SW1_13,SW4_11,SW1_8,SW1_9,SW3_2,SW3_12,SW2_8,SW3_4,SW1_6,SW3_6,SW2_7,SW1_15,SW4_12,SW2_2";"SW_Hotswap_Kailh_MX_1.00u";52;"SW_Push";;;
2;"SW5_1,SW5_10,SW5_2,SW5_12,SW5_17,SW5_3,SW5_15";"SW_Hotswap_Kailh_MX_1.25u";7;"SW_Push";;;
3;"H6,H1,H4,H2,H3,H5";"MountingHole_3.2mm_M3_Pad_TopOnly";6;"MountingHole";;;
4;"SW5_7";"SW_Hotswap_Kailh_MX_6.25u";1;"SW_Push";;;
5;"SW3_13,SW4_1";"SW_Hotswap_Kailh_MX_2.25u";2;"SW_Push";;;
6;"SW5_8";"SW_Hotswap_Kailh_MX_7.00u";1;"SW_Push";;;
7;"SW3_1,SW4_15";"SW_Hotswap_Kailh_MX_1.75u";2;"SW_Push";;;
8;"SW5_11,SW5_4,SW5_13,SW3_14,SW2_1,SW5_18,SW5_6";"SW_Hotswap_Kailh_MX_1.50u";7;"SW_Push";;;
9;"SW1_14";"SW_Hotswap_Kailh_MX_2.00u";1;"SW_Push";;;
10;"SW5_9";"SW_Hotswap_Kailh_MX_6.00u";1;"SW_Push";;;
11;"SW4_13";"SW_Hotswap_Kailh_MX_2.75u";1;"SW_Push";;;
12;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
13;"C3,C21,C6,C14,C19,C7,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"100u/6.3V";;;
14;"D1_10,D1_6,D3_3,D4_4,D4_6,D1_8,D1_12,D1_7,D3_13,D5_2,D5_3,D1_5,D4_12,D2_9,D5_7,D3_6,D1_3,D5_12,D1_2,D3_4,D3_2,D3_8,D2_14,D2_7,D3_9,D5_11,D5_1,D4_5,D4_14,D1_11,D2_5,D2_8,D3_12,D3_1,D4_1,D1_13,D4_8,D3_11,D2_13,D4_10,D4_7,D2_11,D4_3,D3_7,D2_12,D5_13,D1_9,D2_4,D2_3,D3_5,D4_11,D1_1,D5_14,D_14,D1_4,D2_2,D4_13,D4_9,D2_10,D3_14,D2_6,D2_1,D3_10";"D_0805_2012Metric";63;"1N4148";;;
15;"R6";"R_0603_1608Metric";1;"1R";;;
16;"R13,R12";"R_0603_1608Metric";2;"0ohm";;;
17;"J3";"Molex_PicoBlade_53261-0571_1x05-1MP_P1.25mm_Horizontal";1;"Conn_01x04_Socket";;;
18;"X1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"12MHz";;;
19;"R14,R11";"R_0603_1608Metric";2;"1K";;;
20;"D1,D3,D2";"SOT-23";3;"BAT54S";;;
21;"R18,R15";"R_0603_1608Metric";2;"22R/5%";;;
22;"R24";"R_0603_1608Metric";1;"100R/5%";;;
23;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
24;"J4";"Molex_200528-0140_1x14-1MP_P1.00mm_Horizontal";1;"Conn_01x14_Socket";;;
25;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
26;"R4,R7,R8";"R_0603_1608Metric";3;"no-fit";;;
27;"R20,R16,R17";"R_0603_1608Metric";3;"10K";;;
28;"U6";"SOT-23-6";1;"USBLC6-2SC6";;;
29;"C20";"C_0603_1608Metric";1;"47nF/16V";;;
30;"R10";"R_0603_1608Metric";1;"150K/1%";;;
31;"C4,C1,C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"2.2u/6.3V";;;
32;"C18";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2U2/6.3V";;;
33;"U7";"SOT-23-5";1;"TLV75533PDBV";;;
34;"TH1";"R_0603_1608Metric";1;"Thermistor_NTC";;;
35;"C12";"C_0603_1608Metric";1;"100uF/16V";;;
36;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVSS";;;
37;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXS0108EPW";;;
38;"R5";"R_0603_1608Metric";1;"200R";;;
39;"C10,C11";"C_0603_1608Metric";2;"1uF/16V";;;
40;"R9";"R_0603_1608Metric";1;"100K/1%";;;
41;"C2,C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100n/6.3V";;;
42;"D61";"D_SOD-523";1;"ESD5Zxx";;;
43;"C8,C9";"C_0603_1608Metric";2;"100nF/16V";;;
44;"C17,C16";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"15P/25V";;;
